"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2019-202298","特願2018-100707","2018/05/25","2019/11/28","酸性ガス吸収剤、酸性ガスの除去方法および酸性ガス除去装置","株式会社東芝,東芝エネルギーシステムズ株式会社","B01D53/14,210,C07D295/088,C07D205/04,C07D211/22,C07D207/09,C07D207/08,B01D53/62,B01D53/78,B01D53/96,B01D53/52,220,B01D53/14,220,B01D53/18,C10K1/14","(57)【要約】      （修正有）
【課題】吸収量、吸収速度が高く、吸収剤成分の放散が<BR>防止された酸性ガス吸収剤の提供。
【解決手段】式（１）のアミン化合物及び式（２）又は<BR>（３）のアミノ化合物を含む酸性ガス吸収剤。



〔Ｒ１は、直鎖状ヒドロキシアルキル基、Ｒ２は２級ア<BR>ルキル基、Ｒ３、Ｒ４、Ｒ５は、Ｈ、ＯＨ、又はヒドロ
","特開2019-202298","","特許7185421","拒絶2022-012974","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-202298/43E53E7BCF5DB908A8DC4EDFE556CF4BD024215AD6D868BEBA4AC35CF06CB31E/11/ja"
"特開2019-202275","特願2018-099413","2018/05/24","2019/11/28","二酸化炭素回収システム","ヤンマー株式会社","B01D53/14,220,B01D53/92,240,B01D53/96,B01D53/92,331,C01B32/50","(57)【要約】
【課題】吸収液から二酸化炭素を分離して回収する回収<BR>率を向上できる二酸化炭素回収システムを提供する。
【解決手段】二酸化炭素回収システムは、リッチ吸収液<BR>加熱部と、重力によって吸収液からＣＯ2を分離する吸<BR>収液再生部と、を備える。リッチ吸収液加熱部の加熱ユ<BR>ニット８０は、リッチ吸収液流路８１と、熱媒体流路８<BR>２と、を備える。リッチ吸収液流路８１及び熱媒体流路<BR>８２は、何れも、水平成分を有する方向に延びるように<BR>設けられる。リッチ吸収液流路８１及び熱媒体流路８２<BR>は、入口から出口まで吸収液又は冷却水が流れる方向の<BR>水平成分が互いに逆となるように隣接して配置される。<BR>リッチ吸収液流路８１の吸収液入口８１ａが熱媒体流路<BR>８２の熱媒体出口８２ｂより低い。熱媒体流路８２の熱<BR>媒体入口８２ａがリッチ吸収液流路８１の吸収液出口８<BR>１ｂより低い。
【選択図】図２
","特開2019-202275","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-202275/21C4DCD2BD4FD0CCD0BD9950F08BE7884C12D20F43F7323D36DC0A23B54FC384/11/ja"
"特開2019-198825","特願2018-094919","2018/05/16","2019/11/21","二酸化炭素回収システムおよびその運転方法","株式会社東芝,東芝エネルギーシステムズ株式会社","B01D53/62,B01D53/78,B01D53/96,B01D53/14,220,C01B32/50","(57)【要約】
【課題】ガス供給設備からの処理対象ガスの量や質が変<BR>化しても安全な状態で稼働し続けるなど、二酸化炭素回<BR>収システムの運用性を向上させる。
【解決手段】一の実施形態によれば、二酸化炭素回収シ<BR>ステムは、ガス排出設備から排出された処理対象ガス中<BR>の二酸化炭素を吸収液に吸収させ、前記二酸化炭素を吸<BR>収した前記吸収液を排出する吸収塔を備える。前記シス<BR>テムはさらに、前記吸収塔から排出された前記吸収液か<BR>ら前記二酸化炭素を放散させ、前記二酸化炭素を放散し<BR>た前記吸収液を排出する再生塔を備える。前記システム<BR>はさらに、吸収塔排出ガスを前記吸収塔に導入する第１<BR>流路に設けられた第１バルブと、再生塔排出ガスを前記<BR>吸収塔に導入する第２流路に設けられた第２バルブとを<BR>備える。前記システムはさらに、前記ガス排出設備に異<BR>常がある場合に前記第１および第２バルブが開になるよ<BR>うに、前記第１および第２バルブを制御する制御部を備<BR>える。
【選択図】図１
","特開2019-198825","","特許7013322","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-198825/A77E2370A20F3F2764E763C9F9C55E7AFD5E6D7AD246E9F53CA72763E81AB75C/11/ja"
"特表2021-524805","特願2021-512971","2019/05/08","2019/11/14","炭酸塩鉱物化","ミネラル　カーボネーション　インターナショナル　ピーティーワイ　リミテッド","B01D53/14,210,B03B5/34,B03C1/00@A,B03C1/00@B,B03C1/30@Z,B01D53/78,B01D53/62,C01F5/24","(57)【要約】
  本発明は、二酸化炭素の回収、隔離および利用のための統合プロセスであって、ａ）水<BR>性液と活性化ケイ酸マグネシウム鉱物を含む粒子状固体とを含む水性スラリーを生成する<BR>ステップと；ｂ）溶解段階において、ＣＯ２含有ガス流を水性スラリーと接触させ、鉱物<BR>からマグネシウムを溶解させて、マグネシウムイオン濃縮炭酸水性液およびマグネシウム<BR>枯渇固体残渣を含むスラリーを生成するステップと；ｃ）ステップｂ）からのマグネシウ<BR>ム枯渇固体残渣の少なくとも一部を、マグネシウム枯渇固体残渣を微細粒度分画および粗<BR>大粒度分画に分離する粒度分級プロセスに供するステップと；ｄ）ステップｃ）からの粗<BR>大粒度分画の少なくとも一部を、粒度縮小プロセスに供して、粒度縮小分画を生成するス<BR>テップと；ｅ）ステップｄ）からの粒度縮小分画を含む水性スラリーを生成し、ステップ<BR>ｂ）を繰り返すステップであって、ステップｃ）からの微細粒度分画の使用を含まない、<BR>ステップと；ｆ）沈殿段階において、ｂ）およびｅ）で溶解したマグネシウムイオンから<BR>炭酸マグネシウムを沈殿させるステップとを含む方法を提供する。
","特表2021-524805","","特許7319355","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-524805/637AF01EEDCC9827A341BBB2AB68F1903FDC7DFBD0D6F7235BF657D9DAF37126/11/ja"
"特表2021-524806","特願2021-512972","2019/05/08","2019/11/14","多段階炭酸塩鉱物化","ミネラル　カーボネーション　インターナショナル　ピーティーワイ　リミテッド","B01D53/62,B01D53/78,B01D53/14,210,C01F5/24","(57)【要約】
  本発明は、ａ）水性液と活性化ケイ酸マグネシウム鉱物を含む粒子状固体とを含む水性<BR>スラリーを提供するステップ；ｂ）溶解段階において、ＣＯ２含有ガス流を、前記鉱物か<BR>らマグネシウムを溶解させてマグネシウムイオン濃縮炭酸水性液とマグネシウム枯渇固体<BR>残渣とを含むスラリーを提供するために、前記水性スラリーと第１の圧力で接触させるス<BR>テップ：およびｃ）沈殿段階において、ステップｂ）で溶解したマグネシウムイオンから<BR>炭酸マグネシウムを、各段階を先行する段階と比べて低い圧力とする複数連続的段階的減<BR>圧により、沈殿させるステップ；を含む、二酸化炭素の回収、隔離および利用のための統<BR>合プロセスであって、ここで、ＣＯ２が各連続的段階的減圧により放出され、相応して段<BR>階的に圧縮されて溶解段階にリサイクルされる、統合プロセスを提供する。
","特表2021-524806","","特許7254908","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-524806/97D4ECCCEC971F7E87455A7F2B2CDA5CD0D82C55220923EE0C028FEDDCC5D86B/11/ja"
"特開2019-195758","特願2018-090199","2018/05/08","2019/11/14","ガス分離装置及びガス分離方法","オルガノ株式会社","B01D53/68,200,B01D53/62,B01D53/82,B01D53/22","(57)【要約】
【課題】、ＰＦＣガス希釈のための窒素ガスを用いずに<BR>、希ガスのキセノンガスやクリプトンガスを回収するガ<BR>ス分離装置及びガス分離方法を提供する。
【解決手段】半導体ウエハ処理装置１１から排出される<BR>少なくとも希ガスを含む排ガスを搬送する搬送配管１２<BR>と、前記搬送配管１２に接続され、前記希ガスと同種の<BR>希ガスを前記搬送配管１２に導入する希ガス供給配管１<BR>６と、前記搬送配管１２が接続され、前記排ガスに含ま<BR>れる希ガス以外のガス成分を除去して希ガスを回収する<BR>希ガス回収装置２１とを有するガス分離装置１。
【選択図】図１
","特開2019-195758","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-195758/F25EDD9040A7F8302E426FB200905B7768707382564EF5F8275AE1503E8CC6A7/11/ja"
"特開2019-190359","特願2018-083280","2018/04/24","2019/10/31","プラント及び燃焼排ガス処理方法","三菱重工業株式会社,三菱重工エンジニアリング株式会社","F01K23/10@X,F01K17/02,F02G5/02@C,B01D53/62,B01D53/78,B01D53/14,200,F01K23/10@A","(57)【要約】
【課題】プラント及び燃焼排ガス処理方法を提供する。
【解決手段】ガスタービン１１と、ガスタービン１１か<BR>らの燃焼排ガス１２の熱エネルギーを主熱交換部１３Ａ<BR>で熱交換し、主蒸気Ｓ10を生成する主排熱回収ボイラ１<BR>３、及び、主熱交換部１３Ａと独立して設置され、主排<BR>熱回収ボイラ１３の主熱交換部１３Ａで一部熱交換した<BR>後の燃焼排ガス１２からの熱エネルギーを副熱交換部１<BR>４Ａで熱交換し、副蒸気Ｓ20を生成する副排熱回収ボイ<BR>ラ１４と、を備えた排熱回収装置１５と、主排熱回収ボ<BR>イラ１３で発生した主蒸気Ｓ10で駆動される主蒸気ター<BR>ビン１６と、排熱回収装置１５から排出される燃焼排ガ<BR>ス１２中に含有するＣＯ2を回収するリボイラを備えた<BR>ＣＯ2回収装置５０と、副排熱回収ボイラ１４で発生し<BR>た副蒸気Ｓ20を、リボイラ５５に導入する第１のリボイ<BR>ラ用熱供給ラインＬ21と、を備える。
【選択図】図１
","特開2019-190359","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-190359/89B570404F833D4828F0294085ADC63D0A34EB00DCE24EEAB59BC7AA9DF22283/11/ja"
"特開2019-188319","特願2018-083410","2018/04/24","2019/10/31","二酸化炭素分離装置及び二酸化炭素分離方法","日本精工株式会社","B01D53/06,100,B01D53/62,B01D53/83,B01D53/96,B01D53/92,240,B01D53/92,354","(57)【要約】
【課題】二酸化炭素の吸着及び脱着を繰り返し行っても<BR>二酸化炭素の吸着性能が低下しにくい二酸化炭素分離装<BR>置及び二酸化炭素分離方法を提供する。
【解決手段】二酸化炭素分離装置は、温度差によって二<BR>酸化炭素の吸着及び脱着が可能な二酸化炭素吸着剤１に<BR>、二酸化炭素を含有する混合ガスを接触させることによ<BR>り、二酸化炭素吸着剤１に二酸化炭素を吸着させる吸着<BR>部と、二酸化炭素を吸着した二酸化炭素吸着剤１に電磁<BR>波を照射して加熱することにより、二酸化炭素吸着剤１<BR>から二酸化炭素を脱着する脱着部と、脱着部で二酸化炭<BR>素を脱着した加熱状態の二酸化炭素吸着剤１を冷却する<BR>冷却部と、を備える。そして、冷却部は、二酸化炭素吸<BR>着剤１を密封することが可能な密封構造を有しており、<BR>二酸化炭素吸着剤１を密封環境下で冷却する。
【選択図】図１
","特開2019-188319","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-188319/74FB54951D11BD29AD6BEBFD3948A8FB247D49DDCE727EEF5D24C370AB69540D/11/ja"
"特開2019-181451","特願2018-199226","2018/10/23","2019/10/24","二酸化炭素回収システム","村木　風海,一般社団法人炭素回収技術研究機構","B01D53/14,210,B01D53/62,B01D53/78,B01D53/96,B01D53/14,220,B01D53/18,110,C01B32/50,C25B1/46,C25B9/00@E","(57)【要約】
【課題】簡単な構成で、火力等の特別なエネルギーを用<BR>いることなく二酸化炭素（気体）を取り出し、回収する<BR>ことができる二酸化炭素回収システムを提供すること
【解決手段】  塩化ナトリウム水溶液を電気分解して水<BR>酸化ナトリウム水溶液を生成する電気分解処理部（水酸<BR>化ナトリウムステーション１）と、電気分解処理部で生<BR>成された水酸化ナトリウム水溶液にエアポンプ３３で空<BR>気を供給し、その空気中の二酸化炭素を前記水酸化ナト<BR>リウム水溶液中に溶け込ます吸収処理部（ロボット装置<BR>本体２）と、その吸収処理部で生成された二酸化炭素を<BR>溶け込んだ水酸化ナトリウム水溶液に対し、電気分解処<BR>理部で水酸化ナトリウム水溶液を生成した際に生じる塩<BR>酸を供給し、化学反応により前記溶け込んだ二酸化炭素<BR>を気体の二酸化炭素として取り出す取り出し処理部（１<BR>，３９，３，４０）を備えて構成する。
【選択図】        図１
","特開2019-181451","","特許7004881","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-181451/179AC5869D36234DB8F5AF153687DC1100E650653E0FF2B5123D03F733EBF277/11/ja"
"特開2019-181402","特願2018-078514","2018/04/16","2019/10/24","二酸化炭素回収方法","国立研究開発法人産業技術総合研究所","B01D53/14,210,B01D53/62,B01D53/78,B01D53/14,220,C07C215/08","(57)【要約】
【課題】従来より多くの二酸化炭素が回収可能な二酸化炭素回収方法用吸収液を提供する<BR>。
【解決手段】二酸化炭素回収方法用吸収液は、二酸化炭素回収方法用の吸収液であって、<BR>二酸化炭素回収方法は、吸収液に二酸化炭素を接触させて吸収させる吸収工程と、二酸化<BR>炭素を吸収した吸収液から二酸化炭素を放出させる放出工程とを含み、吸収液は、化学式<BR>１で示されるアミン化合物を含有する。

（化学式１中、ｎは、１以上の整数を表す。）
【選択図】なし
","特開2019-181402","","特許7165388","拒絶2022-013460","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-181402/B064538E0A9014B59EF152F50EB0BF83EB79BF7B605D338296E61BE62727A2B8/11/ja"
"特開2019-181401","特願2018-078511","2018/04/16","2019/10/24","二酸化炭素吸収放出装置及び、これを用いたヒートポンプシステム","パナソニック株式会社,国立研究開発法人産業技術総合研究所","B01D53/14,220,F25B1/00,396@D,F25B25/02@B,F25B27/02@K,B01D53/14,210","(57)【要約】
【課題】省エネルギー化を図ることが可能な二酸化炭素<BR>吸収放出装置及び、これを用いたヒートポンプシステム<BR>を提供する。
【解決手段】
  ヒートポンプシステム１０は、圧力Ｐ１・温度Ｔ１の<BR>条件下で、アミンを含有する吸収液に、二酸化炭素を接<BR>触させて吸収させる吸収部と、Ｐ１より高い圧力Ｐ２・<BR>Ｔ１より高い温度Ｔ２の条件下で、富吸収液から二酸化<BR>炭素を放出させる放出部と、二酸化炭素と吸収液とを分<BR>離する回収部と、を備える吸収回路４０を有する吸収式<BR>ヒートポンプ回路３０と、原動機の軸出力を、冷媒を圧<BR>縮する圧縮機の動力源として利用する圧縮式ヒートポン<BR>プ回路２０と、を備え、再生器により再生された冷媒を<BR>、圧縮機の吸込口に供給し、利用側熱交換器において熱<BR>交換をした冷媒を吸収回路４０の吸収器に循環させるよ<BR>うに構成する。
【選択図】図１
","特開2019-181401","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-181401/CB66931875594714EAFE7D8E8A9D94F76F82D0B7BF7F81F789C79CE76550EF10/11/ja"
"特開2019-181367","特願2018-075239","2018/04/10","2019/10/24","二酸化炭素の回収装置","株式会社ＩＨＩ","B01D53/62,B01D53/50,230,B01D53/14,220,B01D53/18,160,C01B32/50","(57)【要約】
【課題】気液接触における圧力損失を抑制しつつ、良好<BR>且つ効率的な気液接触が可能な二酸化炭素の回収装置を<BR>提供する。
【解決手段】二酸化炭素の回収装置は、ガスに含まれる<BR>二酸化炭素を吸収液に吸収させる吸収装置と、吸収液に<BR>含まれる二酸化炭素を放出させて吸収液を再生する再生<BR>装置と、吸収装置及び再生装置間で吸収液を循環させる<BR>循環機構とを有する二酸化炭素の回収装置である。吸収<BR>装置及び再生装置の少なくとも一方は、横方向に配列す<BR>る複数の段に割り当てられる気液接触部であって、複数<BR>の段の各々に、並列する複数の鉛直な平板を有する気液<BR>接触部と、吸収液を気液接触部に供給して複数の段を配<BR>列に沿って順次流通させる液体供給機構とを有する横型<BR>多段構造に構成される。
【選択図】図１
","特開2019-181367","","特許7106954","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-181367/7B42F2CE47193020BA13328ED11893896E2BD7F820C8BC636108E351165FFC63/11/ja"
"特開2019-178026","特願2018-067823","2018/03/30","2019/10/17","ＣＯ２を吸収して炭素に分解する方法、及びＣＯ２吸収材","新日鐵住金株式会社","C01B32/05,B01D53/62,B01D53/82,B01D53/96,B01D53/14,100,B01J20/10@C,B01J20/28@Z,B01J20/34@H,C01B33/32,C01B37/00,C01B32/50","(57)【要約】
【課題】単一の化学物質を用いて、ＣＯ２の吸収と炭素<BR>への分解の両方を行うことができ、しかも、反応効率を<BR>落とさずに、ＣＯ２の吸収と炭素への分解を繰り返すこ<BR>とができる方法、及びこれに用いられるＣＯ２吸収材を<BR>提供する。
【解決手段】ＣＯ２を含んだＣＯ２含有ガスをｎＫ２Ｏ<BR>・ＳｉＯ２に接触させてＣＯ２を吸収させる工程Ａと、<BR>該ｎＫ２Ｏ・ＳｉＯ２を非酸化性雰囲気中で５００℃以<BR>上１０００℃以下に加熱してＣＯ２を炭素に分解し、ｎ<BR>Ｋ２Ｏ・ＳｉＯ２から分離された状態で炭素を回収する<BR>工程Ｂとを有する方法であり、また、この方法で用いら<BR>れるＣＯ２吸収材である。
【選択図】図２
","特開2019-178026","","特許7028027","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-178026/06E07FE32CDF4AA92FFBEA9626C82A3CD520C880A27409A2ED7EE1CEA6378C37/11/ja"
