"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特表2008-536670","特願2008-506988","2006/04/18","2006/10/26","二酸化炭素受容体","エヌティーエヌユー　テクノロジー　トランスファー　エーエス","B01D53/14@A,B01D53/34,135@Z,B01J20/04@C,C01G25/00,B01D53/14,100,B01D53/62,B01D53/81","(57)【要約】
ナノ粒子二酸化炭素受容体の調製方法であって、当該受容体は、少なくとも２つの金属イ<BR>オンＸとＹとを含む混合金属酸化物であり、当該方法が、溶液中で、金属イオンＸの酸化<BR>物の前駆体と金属イオンＹの酸化物の前駆体とを接触させることと；当該溶液を乾燥させ<BR>て非晶質固体を形成することと；当該非晶質固体を焼成して当該受容体を形成することと<BR>を含む方法。
【選択図】なし
","特表2008-536670","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2008-536670/A254C97CEFEC9914AC3B05F4295510499FCC52D456A0E9F003757D2485EABA1F/11/ja"
"特表2008-540939","特願2008-505520","2006/04/07","2006/10/19","流体を貯蔵および浄化する方法およびシステム","マシスン　トリ－ガス，インコーポレイティド","B01D53/14,102,F17C11/00@B,B01D53/14,210","(57)【要約】
  流体を貯蔵し、分注し(dispense)、浄化し、および／<BR>または安定化する方法が提供される。この方法は概して<BR>イオン性液体またはそれらの混合物を包含する容器を使<BR>用することを含む。
【選択図】図１
","特表2008-540939","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2008-540939/F3FF2E265D8E16EFE916A6FBA9ACC492EA25CE55E518EFE5C455A2312DB9F292/11/ja"
"再表2006/107026","特願2006-526455","2006/04/03","2006/10/12","吸収液、ＣＯ２又はＨ２Ｓ又はその双方の除去方法及び装置","三菱重工業株式会社,関西電力株式会社","B01D53/14,102,B01D53/14,103,B01D53/34,127@B,B01D53/34,135@Z,B01D53/34,B01D53/14,210,B01D53/14,220,B01D53/52,220,B01D53/62,B01D53/75","(57)【要約】
本発明にかかる吸収液は、ガス中のＣＯ２又はＨ２Ｓ又はその双方を吸収する吸収液であ<BR>って、例えば２級モノアミンと２級ジアミンとの混合物等の２級アミン系複合吸収剤に対<BR>して、３級モノアミンを好ましくは１～２０重量％添加してなるものであり、これにより<BR>、ガス中の酸素等による吸収液アミンの劣化を抑制することができ、この結果、吸収損失<BR>の低減、性能の低下及びコスト低減を図ることができる。この吸収液はＣＯ２又はＨ２Ｓ<BR>又はその双方の除去装置に用いて好適である。
","WO2006/107026","","特許4634384","","再表2006/107026","特許 有効","権利の移転","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2006-107026/615977D40C46402B08FF19BB7A9BB913DF28B7C4C16F69A81E7E0DEC707C8793/19/ja"
"特表2008-537721","特願2008-505556","2006/04/06","2006/10/12","水素または合成ガスの精製方法","キャボット　コーポレイション","B01D53/04@B,B01D53/14@C,B01D53/22,C01B3/38,C01B3/48,C01B3/56@Z,C01B31/02,101@B,C10K1/00,B01D53/047,B01D53/14,200,C01B32/05","(57)【要約】
  水素ガスまたは合成ガスを生成する方法が記載され、<BR>そして段階反応装置の使用を含む。本発明は、さらに経<BR>済的に有用な量のカーボンブラックと共に効率的な量の<BR>水素ガスが生成される様に、工程を効率的に運用するこ<BR>とに関する。カーボンブラック製造プラントおよび精製<BR>プラントを利用する複合設備、並びに本発明の種々の方<BR>法によってできた生成物をさらに記載する。
","特表2008-537721","","特許5149153","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2008-537721/361E9D6BEC0128E2909038582478185717861BF5F49EDB7D49CC81F38A5FB6FD/11/ja"
"特開2006-272143","特願2005-094450","2005/03/29","2006/10/12","酸性ガスを含む混合ガスの精製方法及びその装置","三菱マテリアル株式会社","B01D53/14,102,B01D53/14@C,B01D53/34,118@E,B01D53/34,120@F,B01D53/34,121@B,B01D53/34,121@C,B01D53/34,121@E,B01D53/34,125@N,B01D53/34,127@B,B01D53/34,130@D,B01D53/34,131,B01D53/34,133,B01D53/34,135@Z,C01B3/56@Z,C01B31/20@Z,C10K1/10,C10K1/16,C10L3/00@B,C10L3/10,H01M8/06@G,B01D53/14,200,B01D53/14,210,B01D53/40,200,B01D53/48,100,B01D53/50,200,B01D53/50,260,B01D53/52,B01D53/52,200,B01D53/52,220,B01D53/54,B01D53/56,200,B01D53/58,B01D53/60,200,B01D53/62,B01D53/78,B01D53/96,C01B32/50,H01M8/0612,H01M8/04746","(57)【要約】
【課題】  室温で混合ガスから酸性ガスを吸収し、容易<BR>に吸収液の再生と液体酸性ガスの回収を同時に実現し、<BR>省エネルギ、低コストで酸性ガスを直接液体状態で分離<BR>回収する。
【解決手段】  所定の温度及び所定の圧力に維持した吸<BR>収塔１３の上部に、有機溶剤又は水を主成分とする吸収<BR>液４２を供給し、吸収塔１３の下部に、酸性ガス及び非<BR>酸性ガスを含む混合ガスを供給して、吸収液に混合ガス<BR>を接触させる。これにより酸性ガスを吸収液に吸収させ<BR>て、非酸性ガスを酸性ガスから分離して吸収塔１３から<BR>回収する。所定の圧力に維持しかつ吸収塔内の温度より<BR>低い温度に維持した分離再生器４６に、酸性ガスを吸収<BR>した吸収液を供給することにより、酸性ガスを液化しこ<BR>の液体酸性ガス４１と吸収液の相互不溶解性及び比重差<BR>により吸収液から液体酸性ガスを分離して分離再生器か<BR>ら回収するとともに吸収液を再生する。この再生された<BR>吸収液を吸収塔の上部に供給する。
【選択図】  図１
","特開2006-272143","","特許4687184","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2006-272143/55426EE71A8C532EBA54E3DB228A0D556A509CBE89E33F335C421C383E4F4ADA/11/ja"
"特開2006-265030","特願2005-084982","2005/03/23","2006/10/05","二酸化炭素固定化成型体、該成型体を形成するためのコンクリート組成物、及び、それを用いた二酸化炭素固定化成型体の製造方法","株式会社竹中工務店","B01D53/14@A,B01J20/04@A,B01J20/08@C,C04B16/06@A,C04B24/28@Z,C04B28/02,C04B41/72,B01D53/14,100","(57)【要約】
【課題】  コンクリートの圧縮強度や曲げ強度など本来の力学特性を損なうことなく、大<BR>気中の二酸化炭素を効果的に固定化しうる特性を有するコンクリート系の二酸化炭素固定<BR>化成型体、成型体の形成に有用なコンクリート組成物、及び、その製造方法を提供する。
【解決手段】  水、セメント、混和材料、骨材を含有するコンクリート組成物を硬化して<BR>得られ、表層部に空隙を有し、該表層部において、大気中の二酸化炭素を固定化すること<BR>を特徴とする二酸化炭素固定化成型体である。ここで、表層部に存在する空隙は、直径１<BR>０μｍ～２００μｍの空隙もしくは同径の断面を有する空洞孔であり、且つ、表層部に０<BR>．０５容積％～１０容積％設けられていることが好ましい。
【選択図】          なし
","特開2006-265030","","特許5059293","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2006-265030/3C4286AC8E68A67BE5B2465161016AE1C90406D7439C277BDA2323AB9A514517/11/ja"
"特開2006-263641","特願2005-088043","2005/03/25","2006/10/05","ガス溶解方法とその装置","東洋紡エンジニアリング株式会社","B01D53/14@C,B01F1/00@A,B01D53/14,200","(57)【要約】
【課題】  水素還元水の製造を初め、酸素、二酸化炭素<BR>等のガスやオゾンを常温以下の水に極めて効率よく溶解<BR>させることが可能なガス溶解方法とその装置の提供。
【解決手段】  水の供給・循環ポンプに溶解予定ガスを<BR>供給し、少しガスを溶解させてバブリングさせた水を作<BR>製し、これを当該ガスを入れた気液接触リアクター内を<BR>落下させる構成とすることで、通常の冷水であっても短<BR>時間の処理で、例えば水素ガスの場合、マイナス数百mV<BR>以下という非常に低い酸化還元電位を有する水素還元水<BR>が得られる。
【選択図】        図1
","特開2006-263641","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2006-263641/AF71B923F841A2261071AD6357C9026F10CB72CE60A06C4BB11823FA8FE158ED/11/ja"
"特開2006-263612","特願2005-086639","2005/03/24","2006/10/05","炭酸ガス吸収材および炭酸ガスを含む被処理ガスの処理方法","株式会社東芝","B01D53/34,135@Z,B01J20/10@C,B01J20/34@H,C01B33/20,B01D53/62,B01D53/96","(57)【要約】
【課題】炭酸ガスの吸収および吸収能力の低下後の再生<BR>を長期間に亘って繰り返しても、高い炭酸ガス吸収性能<BR>を示す炭酸ガス吸収材を提供する。
【解決手段】リチウムシリケートを主成分とし、貫通孔<BR>を有する粒状の多孔質体であって、前記貫通孔を垂直に<BR>横切る断面において前記貫通孔と外面との間の肉厚が３<BR>ｍｍ以下であることを特徴とする炭酸ガス吸収材。
【選択図】図１
","特開2006-263612","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2006-263612/073B6A5C59AC77A1A33D19EB1FD10BE410A44D02BA92BA8B9A1F8514B9801DB2/11/ja"
"特開2006-255560","特願2005-075139","2005/03/16","2006/09/28","炭酸ガス吸収材、炭酸ガス分離方法及び炭酸ガス分離装置","株式会社東芝","B01D53/34,135@Z,B01J20/10@C,C01B31/20@B,B01D53/62,B01D53/81,B01D53/82,B01D53/96,C01B32/50","(57)【要約】
【課題】  本発明は、繰り返し使用しても二酸化炭素の吸収・放出能の高い炭酸ガス吸収<BR>材、炭酸ガス分離方法、炭酸ガス分離装置を提供することを目的とする。
【解決手段】  リチウムシリケート粒子中に、棒状のチタン含有酸化物粒子を分散させる<BR>ことで、炭酸ガス吸収・放出の繰返し特性が向上する。
【選択図】  なし
","特開2006-255560","","特許4421499","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2006-255560/1EBDC9FE9ACF9FC20A40AF3CCF2E6631D40CC8B5C685BF5E79947573A5678927/11/ja"
"特開2006-240966","特願2005-062678","2005/03/07","2006/09/14","排ガス中の二酸化炭素を吸収及び脱離して回収する方法","公益財団法人地球環境産業技術研究機構","B01D53/14,102,B01D53/34,135@Z,C01B31/20@B,B01D53/14,210,B01D53/62,B01D53/78,B01D53/96,C01B32/50","(57)【要約】      （修正有）
【課題】効率的かつ低いエネルギー消費量で、ガス中のCO2を吸収及び脱離して高純度のC<BR>O2を回収する方法を提供する。
【解決手段】二酸化炭素を含むガスを、一般式〔I〕

（式中、R1及びR2は、アルキル基、R3は水素又はアルキル基を示す。）で表されるアルカ<BR>ノールアミン類と、一般式〔II〕

","特開2006-240966","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2006-240966/A4449380F5854D3295802B761300F031C61F8E141D91CC18ACD43849243FC06E/11/ja"
"特表2008-505309","特願2007-516556","2005/06/08","2006/09/08","アミン被覆表面を劣化ガスから保護する方法","コーニング　インコーポレイテッド","B01D53/14@A,B65B31/00@Z,G01N30/00@C,G01N30/88,101@E,G01N30/88,201@Y,B01D53/14,100,B01J20/281@Y,B01J20/282@E","(57)【要約】
生物学的アッセイ用途に適用されるアミン被覆基体の繊細な表面の化学成分を、パッケー<BR>ジ容器または貯蔵容器内で生じるかもしれない二酸化炭素および／または有機化学化合物<BR>への曝露の有害な影響から保護するかまたは回復させるための装置および方法が提供され<BR>る。本発明の装置は、好ましくは気密封止された包囲体、二酸化炭素または有機化合物い<BR>ずれかからの劣化を受けやすい部材、および単独材料または材料の組合せいずれかからな<BR>る組成を持つ収着剤を含み、その材料は、ＣＯ2と反応性であり、有機化合物を除去する<BR>ために１００ミリジュール／ｍ2以上の高い表面エネルギーを有するものとして特徴付け<BR>られる。本発明の方法により、表面の化学的性質を安定化でき、被覆基体の有効寿命を長<BR>くすることができる。
","特表2008-505309","","特許4808215","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2008-505309/A801766D6F4F81F32BAC06AF6C77EDF965E9F7E7DF16FE275A3BD5D496AE3E51/11/ja"
"特開2006-232596","特願2005-047857","2005/02/23","2006/09/07","ＣＯ２回収装置および方法","関西電力株式会社,三菱重工業株式会社","B01D53/14@C,B01D53/14,103,B01D53/34,135@Z,C01B31/20@B,B01D53/14,200,B01D53/14,220,B01D53/62,B01D53/78,B01D53/96,C01B32/50","(57)【要約】
【課題】エネルギー効率を向上させたＣＯ2回収装置お<BR>よび回収方法を提供する。
【解決手段】ＣＯ2を含有する排ガスとＣＯ2吸収液とを<BR>接触させて前記排ガスからＣＯ2を除去するＣＯ2吸収塔<BR>と、ＣＯ2を吸収したＣＯ2吸収液であるリッチ溶液から<BR>ＣＯ2を除去することにより前記リッチ溶液をＣＯ2の吸<BR>収のないＣＯ2吸収液であるリーン溶液に再生する再生<BR>塔とを有し、前記再生塔でＣＯ2が除去されてなるリー<BR>ン溶液を前記吸収塔で再利用するＣＯ2回収装置におい<BR>て、前記再生塔の上部から該再生塔内に注入されたリッ<BR>チ溶液から一部のＣＯ2が放出されてなるセミリーン溶<BR>液の少なくとも一部を該再生塔から抜き出し、前記ボイ<BR>ラやガスタービン等、産業設備の煙道内の高温の排ガス<BR>と熱交換させて昇温した後、該再生塔の前記セミリーン<BR>溶液抜き出し位置より下方の位置から該再生塔内に戻す<BR>セミリーン溶液抜き出し昇温返還流路を設ける。
【選択図】        図１
","特開2006-232596","","特許4745682","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2006-232596/33B513DC4A68F6E4AB53D4D637E558082F7DF38A11D5C5E01B073D5E9F35FC86/11/ja"
"特開2006-226218","特願2005-042386","2005/02/18","2006/08/31","排ガス浄化装置及び方法","トヨタ自動車株式会社","B01D53/34,135@Z,B01D53/36,104@A,B01J23/56,301@A,B01J23/63@A,F01N3/08@A,F01N3/10@A,F01N3/24@C,F01N3/24@E,F01N3/24@R,F01N3/24@B,B01D53/62,B01D53/81,B01D53/86,222,B01D53/86,245,B01D53/86,280,B01D53/92,240,B01D53/92,350,B01D53/94,222,B01D53/94,245,B01D53/94,280,B01D53/96","(57)【要約】
【課題】  セリア含有触媒における炭酸セリウムの形成<BR>を抑制し、それによって低温時の触媒性能を改良する排<BR>ガス浄化装置及び方法を提供する。
【解決手段】  セリアを含有するセリア含有触媒２と、<BR>このセリア含有触媒の排ガス流れ上流側で排ガス中の二<BR>酸化炭素濃度を低下させる二酸化炭素除去装置１とを有<BR>する、排ガス浄化装置とする。また、排ガス中の二酸化<BR>炭素の濃度を低下させ、その後で二酸化炭素の濃度を低<BR>下させた排ガスを、セリアを含有するセリア含有触媒に<BR>接触させることを含む、排ガス浄化方法とする。
【選択図】      図１
","特開2006-226218","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2006-226218/2EDD3CB3DFABE86801A3A286D44FDFBAEFB22737157AD642B196FFAD6BB76FA2/11/ja"
"特開2006-224094","特願2006-000059","2006/01/04","2006/08/31","イオン輸送膜システムにおける原料ガス汚染物質の除去","エア　プロダクツ　アンド　ケミカルズ　インコーポレイテッド","B01D53/14@A,B01D53/22,B01D71/02,500,B01J20/04@A,B01J20/04@B,B01J20/04@C,B01J20/06@A,B01J20/06@B,B01J20/06@C,C01B13/02@Z,B01D53/14,100","(57)【要約】      （修正有）
【課題】セラミックイオン輸送膜によるガス分離機器及び酸化反応システムにおける原料<BR>ガス汚染物質の除去を含むガス精製方法及びイオン輸送システムを提供する。
【解決手段】（ａ）揮発性金属オキシ水酸化物、揮発性金属酸化物、及び揮発性水酸化ケ<BR>イ素よりなる群から選ばれる１種以上の汚染物質を含有する原料ガス流を得ること、（ｂ<BR>）この原料ガス流をガード床の反応性固体物質と接触させ、そして汚染物質の少なくとも<BR>一部を反応性固体物質と反応させてガード床において固体反応生成物を生成させること、<BR>そして、（ｃ）ガード床から精製されたガス流を抜き出す。
【選択図】なし
","特開2006-224094","","特許5161424","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2006-224094/8E960637174655410A6240E9BBC52FE889BC054B11EF3311FB551170DE491A70/11/ja"
"特開2006-220119","特願2005-036258","2005/02/14","2006/08/24","排気ガス浄化方法及び排気ガス浄化装置","株式会社デンソー","B01D53/34,120@D,B01D53/34,129@A,B01D53/34,135@A,B01D53/36,103@B,F01N3/08@A,F01N3/08@Z,F01N3/10@A,F01N3/24@J,F01N3/24@L,F01N7/00@Z,F01N13/00@Z,F01N99/00,B01D53/56,100,B01D53/62,100,B01D53/72,B01D53/75,B01D53/81,B01D53/86,222,B01D53/86,245,B01D53/86,280,B01D53/90,B01D53/92,223,B01D53/92,242,B01D53/92,280,B01D53/92,310,B01D53/92,350,B01D53/94,222,B01D53/94,245,B01D53/94,280,B01D53/94,400,B01D53/96","(57)【要約】
【課題】排気ガス中のＮＯｘ、ＣＯ、ＨＣ等の成分を浄<BR>化する活物質を、従来にない新しい方法により浄化する<BR>ものであって、従来よりも安全でより低温から機能しう<BR>る排気ガス浄化方法及び排気ガス浄化装置を提供するこ<BR>と。
【解決手段】内燃機関の排気ガスを浄化する排気ガス浄<BR>化方法であって、水素分子から水素ラジカルを生成し、<BR>水素ラジカル又は／及び水素ラジカルと酸素含有物質と<BR>の接触により生成する活性酸素を排気ガスと接触させる<BR>ことにより、排気ガスを浄化する。水素ラジカルの生成<BR>は、水素を透過する金属からなる水素透過膜を用いて行<BR>うことが好ましい。水素分子は、排気ガス中の水蒸気か<BR>ら生成することが好ましい。吸着手段を用いて排気ガス<BR>中の特定の成分を選択的に吸着させ、吸着させた成分に<BR>水素ラジカル又は／及び活性酸素を接触させることが好<BR>ましい。
【選択図】図１
","特開2006-220119","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2006-220119/CDAA971484AD169D6ED1D99EAA53DF456D877480B6F6BE620B9D4BB39FAEE7E2/11/ja"
"特開2006-218415","特願2005-034844","2005/02/10","2006/08/24","排気ガスの処理方法及び処理装置","関西電力株式会社,三菱重工業株式会社","B01D53/34,125@C,B01D53/34,125@E,B01D53/34,125@N,B01D53/34,135@Z,B01D53/34,F01N3/04@J,B01D53/50,230,B01D53/50,245,B01D53/50,260,B01D53/62,B01D53/75,B01D53/78,B01D53/80","(57)【要約】
【課題】排気ガスの処理方法及び処理装置において、気<BR>ガスを冷却して運転コストの増加を抑制すると共に、冷<BR>却に使用した処理排液を有効的に使用することで処理コ<BR>ストの増加を抑制する。
【解決手段】排気ガスを塩基性吸収液に接触させて硫黄<BR>酸化物を除去する脱硫処理装置１２と、脱硫処理された<BR>排気ガスを冷却するガス冷却処理装置１３と、冷却処理<BR>された排気ガス中の二酸化炭素を除去する脱炭酸処理装<BR>置１４手段と、冷却されることで排気ガス中の水分が凝<BR>縮して発生する冷却処理排液を脱硫処理装置１２に補給<BR>水として供給する補給水供給手段として冷却液抜出ライ<BR>ン６１を設ける。
【選択図】      図１
","特開2006-218415","","特許4699039","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2006-218415/7281288CEE4A8171FA47C8B27DE469F016DE4059F7251FB51FE44AB498203FBA/11/ja"
"特表2008-532934","特願2007-555249","2006/02/10","2006/08/17","エチレンオキシド回収／ストリッピング用容器、システム及び方法","エスデー　リ－ツェンスフェルヴェールトゥングスゲゼルシャフト　エムベーハー　ウント　コー．　カーゲー","B01D53/14@C,B01D53/18@C,C07D301/32,C07D303/02,C07D303/04,B01D53/14,200,B01D53/18,130","(57)【要約】
エチレンオキシド・プロセスにおいて、一般に分離され<BR>た容器内で行われるストリッピングおよび再吸収操作が<BR>単一の容器内で行われ、この容器はバッフルによって分<BR>離された区分に分割され、そこで再吸収およびストリッ<BR>ピングが行われる。
【選択図】図２
","特表2008-532934","","特許5374046","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2008-532934/629A5926DB9DF3B2F50E08A056FDBCF5DEB11A5BB79D6708BAC7F127E146ECAD/11/ja"
"特開2006-213580","特願2005-030225","2005/02/07","2006/08/17","二酸化炭素回収システム、これを用いた発電システムおよびこれら方法","三菱重工業株式会社,関西電力株式会社","B01D53/34,135@Z,C01B31/20@B,B01D53/62,B01D53/78,B01D53/96,C01B32/50","(57)【要約】
【課題】  二酸化炭素を吸収した吸収液を再生する際に<BR>、タービンの出力低下を抑えることができる二酸化炭素<BR>回収システム、これを用いた発電システムおよびこれら<BR>方法を提供する。
【解決手段】  ボイラ１の燃焼排ガス中から二酸化炭素<BR>を吸収液で吸収除去する二酸化炭素吸収塔１８と、二酸<BR>化炭素を吸収した負荷吸収液を加熱して再生する再生塔<BR>２４とを備え、再生塔２４には、負荷吸収液を加熱して<BR>負荷吸収液中の二酸化炭素を除去する複数の負荷吸収液<BR>加熱手段４１、４２が多段に設けられているとともに、<BR>ボイラ蒸気により回転駆動するタービン８には、タービ<BR>ンから複数の異なる圧力の蒸気を抽気して前記複数の負<BR>荷吸収液加熱手段にその加熱源として供給する複数のラ<BR>イン４４、４５が設けられており、これら複数のライン<BR>は、供給する蒸気の圧力が、前記複数の負荷吸収液加熱<BR>手段の前段４１から後段４２にいくに従って高くなるよ<BR>うに接続されていることを特徴とする。
【選択図】  図１
","特開2006-213580","","特許4875303","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2006-213580/8BA2934F4E8424EE5B6A3207EFD9E6CE601F3A3DF85E8D2F27F7CBB7D084D475/11/ja"
"特表2008-528285","特願2007-553704","2006/02/03","2006/08/10","ガス分離および圧縮装置","サーマル　エナジー　システムズ　リミテッド","B01D53/32,B01J19/08@A","(57)【要約】
  ガス状混合物より反応ガスを分離するガス分離装置に<BR>おいて、イオン膜により分けられた、吸着性の化合物も<BR>しくは溶媒が含浸された多孔質のアノードと、チャンバ<BR>ー内に設けられ且つ導電性の液体が含浸された多孔質の<BR>カソードと、前記アノードおよびカソードへ電力を供給<BR>する電源装置と、前記カソードに隣接するチャンバーに<BR>連通したガス状混合物の流入口と、前記流入口からのガ<BR>スが前記カソードに接触するように前記チャンバーを通<BR>過させる流出口とを備え、前記反応ガスが前記ガス状混<BR>合物から前記吸着剤により吸着されて装置内に保持され<BR>、次いで前記保持されたガスは前記吸着性の化合物から<BR>脱離させられ、前記吸着もしくは脱離、あるいはその双<BR>方が前記各電極に電力を供給することにより促進される<BR>ことを特徴とするガス分離装置。
","特表2008-528285","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2008-528285/9D0026E4BC5465E6D775E7BB27C9FE512AA05C6FADC7D2EE29462A24D39EABE0/11/ja"
"特開2006-206635","特願2005-016863","2005/01/25","2006/08/10","メタン分離精製方法およびメタン分離精製装置","ＪＦＥエンジニアリング株式会社","B01D53/14,102,C07C7/20,C07C9/04,C10L3/00@B,C10L3/10,B01D53/14,210","(57)【要約】
【課題】簡易な方法および装置により、エネルギーの無<BR>駄が少なく、かつ安価で効率的に混合ガスからメタンを<BR>分離精製する。
【解決手段】少なくともメタン、二酸化炭素および硫化<BR>水素を含む混合ガスから硫化水素を除去する脱硫工程と<BR>、前記脱硫工程で混合ガス中から硫化水素が除去された<BR>脱硫ガスを、包接水和物を形成する物質の水溶液中に分<BR>散させながら供給する分散・供給工程と、前記分散・供<BR>給工程で得られた、脱硫ガスと包接水和物を形成する物<BR>質の水溶液との混合物を冷却して包接水和物を生成させ<BR>る包接水和物生成工程と、前記包接水和物生成工程によ<BR>り生成された包接水和物と包接水和物を形成する物質の<BR>水溶液とにより形成される包接水和物のスラリーと、未<BR>反応ガスとを分離する分離工程と、前記分離工程により<BR>分離された包接水和物のスラリーを加温してメタン富化<BR>ガスを放出させる放出工程とを備える。
【選択図】図１
","特開2006-206635","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2006-206635/B9DD0417CB1A59EF27FF74B76059CAE21102EB5ED7D40CD0295876687EC34877/11/ja"
"特開2006-205165","特願2006-020613","2006/01/30","2006/08/10","精製排ガスに含まれる溶媒の抜出しを含む燃焼排ガスの脱炭酸方法","イエフペ　エネルジ　ヌヴェル","B01D53/14,103,B01D53/34,118@E,B01D53/34,135@Z,B01D53/34,B01D53/14,220,B01D53/40,200,B01D53/62,B01D53/78,B01D53/79,B01D53/96","(57)【要約】
【課題】脱炭酸または脱酸プラントからの排ガス中で運<BR>び出される溶媒の揮発成分を回収する技法を提供するこ<BR>と。
【解決手段】ライン１を経て流入する燃焼排ガスを、塔<BR>Ｃ２で溶媒と接触させることによって脱炭酸する。二酸<BR>化炭素を含む溶媒をゾーンＲで再生する。ライン９を経<BR>て排出される精製排ガスは溶媒の一部を含む。本方法を<BR>用いると、精製排ガス中に含まれる溶媒を抜き出すこと<BR>が可能になる。
  精製排ガスをゾーンＺＡで一般式Ｑ+Ａ-の非水イオン<BR>性液体と接触させる。Ｑ+はアンモニウム、ホスホニウ<BR>ムおよび／またはスルホニウムカチオン、Ａ-は液体の<BR>塩を形成する可能性の高いアニオンを表す。溶媒を抜い<BR>た精製排ガスをライン１７を経て排出する。溶媒を含む<BR>イオン性液体を、蒸発装置ＤＥ中で加熱することによっ<BR>て再生する。装置ＤＥでイオン性液体から分離された溶<BR>媒を再循環する。
【選択図】図１
","特開2006-205165","","特許4933103","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2006-205165/6F3BF34F2A531184030DACE192D7D77140EFF766E4228EE9FC8C2EE1B6390192/11/ja"
"特開2006-205023","特願2005-019112","2005/01/27","2006/08/10","炭酸ガス吸収・脱離ベッド","学校法人慶應義塾","B01D53/34,135@Z,B01J20/10@C,C01B31/20@B,C01B33/12@A,B01D53/62,B01D53/81,B01D53/83,B01D53/92,240,B01D53/92,350,B01D53/92,354,B01D53/96,C01B32/50","(57)【要約】
【課題】  リチウムシリケート粒子が液相の溶融塩に懸<BR>濁したスラリー状炭酸ガス吸収剤層を反応塔内に形成す<BR>ることにより、原料ガスから炭酸ガスを高効率で吸収分<BR>離する。
【解決手段】  炭酸カリウム(アルカリ炭酸塩)の配合に<BR>より吸収温度：700℃でもK2CO3／Li3CO3の混合溶融塩11<BR>にリチウムシリケート粒子12が懸濁したスラリー状の炭<BR>酸ガス吸収層を反応塔内に形成する。吸収側の反応塔10<BR>aでは原料ガス（H2, CO2)が吸収剤に気液固接触するの<BR>で吸収反応(Li4SiO4＋CO2→Li2SiO3+LiCO3)が効率よく<BR>進行し、脱離側の反応塔10bでは脱離反応(Li2SiO3+LiCO<BR>3→Li4SiO4＋CO2)に従って活性種(Li4SiO4)12が再生さ<BR>れCO2が放出される。
【選択図】      図１
","特開2006-205023","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2006-205023/1001E9B101D1BA16BEA43B9BDE73E4A3F9C75388739B01AF276B0F4DF506A642/11/ja"
"特開2006-198458","特願2005-010008","2005/01/18","2006/08/03","消煙・防臭システム","宮本　忠,泉　和代","B01D47/06@A,B01D53/34,134@B,B01D53/34,135@A,B01D53/34,135@Z,B01D53/62,B01D53/62,100,B01D53/68,120,B01D53/78,B01D53/79,B01D53/81,B01D53/96","(57)【要約】
    【課題】  効率的に消煙・防臭を実施することがで<BR>きるとともに、煙道に通じている炉内に圧力抵抗を生じ<BR>させることのない消煙・防臭システムを提供することで<BR>ある。
    【解決手段】  煙道内に配置される吸着部分を備え<BR>、吸着部分が、煙道の形状及び大きさにほぼ合致する形<BR>状及び大きさの筒状体と、筒状体の底部に取り付けられ<BR>た漏斗状の滴収集部とを有し、滴収集部に、前記煙道内<BR>を煙が通過することができるように多数の小孔が設けら<BR>れており、滴収集部の最下部に設けられた開口部の直下<BR>に配置された滴受け容器と、筒状体の内部に配置され、<BR>炭素水溶液を霧状に噴射するための複数のノズルが周面<BR>に設けられた噴射器と、煙道の外部に配置され、植物を<BR>焼成して粉砕した炭素粒子を水に混合して形成される炭<BR>素水溶液が充填された炭素水溶液収容タンクとを備えて<BR>いることを特徴とする消煙・防臭システムが提供される<BR>。
【選択図】  図１
","特開2006-198458","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2006-198458/C5D7E40AC32F5B4A155E04289675C3CA88F16E740DAB506AE468D568329F5BD1/11/ja"
